"id","operator_code","full_name"
94,LFNPC,"CGN LUFENG NUCLEAR POWER CO., LTD"
95,LHNPC,LIAONING HONGYANHE NUCLEAR POWER CO. LTD. (LHNPC)
96,LIPA,LONG ISLAND POWER AUTHORITY
97,LNPC,"LIAONING NUCLEAR POWER COMPANY, LMT."
98,LUMINANT,"LUMINANT GENERATION COMPANY, LLC"
99,MAEC-KAZ,LIMITED LIABILITY PARTNERSHIP MANGISTAU ATOMIC ENERGY COMPLEX-KAZATOMPROM
100,ML,"MAGNOX, LTD"
101,MSM,MINISTRY OF MEDIUM MACHINE BUILDING OF THE USSR (MINSREDMASH)
102,MTE,MINTOPENERGO OF UKRAINE - MINISTRY OF FUEL AND ENERGY OF UKRAINE
103,MYAPC,MAINE YANKEE ATOMIC POWER CO.
104,NASA,NUCLEOELECTRICA ARGENTINA S.A.
105,NAWAH,NAWAH ENERGY COMPANY
106,NBEPC,NEW BRUNSWICK ELECTRIC POWER COMMISSION
107,NDNP,"FUJIAN NINGDE NUCLEAR POWER COMPANY, LTD."
108,NEK,NUKLEARNA ELEKTRARNA KRŠKO
109,NEXTERA,"NEXTERA ENERGY RESOURCES, LLC"
110,NMC,NUCLEAR MANAGEMENT CO.
111,NNEGC,"STATE ENTERPRISE ""NATIONAL NUCLEAR ENERGY GENERATING COMPANY 'ENERGOATOM"""
112,NPCBL,NUCLEAR POWER PLANT COMPANY BANGLADESH LIMITED
113,NPCIL,"NUCLEAR POWER CORPORATION OF INDIA, LTD."
114,NPPA,NUCLEAR POWER PLANTS AUTHORITY
115,NPPDCO,NUCLEAR POWER PRODUCTION AND DEVELOPMENT CO. OF IRAN
116,NSP,NORTHERN STATES POWER CO. (SUBSIDIARY OF XCEL ENERGY)
117,NUCLENOR,"NUCLENOR, S.A."
118,OH,ONTARIO HYDRO
119,OKG,OKG AKTIEBOLAG
120,OPG,ONTARIO POWER GENERATION
121,PAEC,PAKISTAN ATOMIC ENERGY COMMISSION
122,PAKS II,"MVM PAKS II, LTD."
123,PAKS Zrt,"PAKS NUCLEAR POWER PLANT, LTD."
124,PE,PREUSSENELEKTRA KERNKRAFT GMBH&CO KG
125,PElektra,PREUSSENELEKTRA GMBH
126,PG&E,PACIFIC GAS AND ELECTRIC COMPANY
127,PORTGE,PORTLAND GENERAL ELECTRIC CO.
128,PPL SUSQ,"PPL SUSQUEHANNA, LLC"
129,PROGRESS,PROGRESS ENERGY
130,PSCC,PUBLIC SERVICE CO. OF COLORADO
131,PSEG,"PSEG NUCLEAR, LLC"
132,RAB,RINGHALS AB
133,RCPA,RURAL COOPERATIVE POWER ASSOC.
134,REA,JOINT STOCK COMPANY 'CONCERN ROSENERGOATOM'
135,RWE,RWE POWER AG
136,SCE,SOUTHERN CALIFORNIA EDISON CO.
137,SCE&G,SOUTH CAROLINA ELECTRIC & GAS CO.
138,SDNPC,"SHANDONG NUCLEAR POWER COMPANY, LTD."
139,SE,"SLOVENSKÉ ELEKTRÁRNE, A.S."
140,SENA,SOCIETE D'ENERGIE NUCLEAIRE FRANCO-BELGE DES ARDENNES
141,SHIKOKU,"SHIKOKU ELECTRIC POWER CO., INC"
142,SKhK,SIBERIAN CHEMICAL COMBINE
143,SL,SELLAFIELD LIMITED
144,SMNPC,"SANMEN NUCLEAR POWER CO., LTD."
145,SMUD,SACRAMENTO MUNICIPAL UTILITY DISTRICT
146,SNEC,SAXTON NUCLEAR EXPERIMENTAL REACTOR CORPORATION
147,SNN,"SOCIETATEA NATIONALA NUCLEARELECTRICA, S.A."
148,SNPDP,"STATE NUCLEAR POWER DEMONSTRATION PLANT CO., LTD."
149,SOGIN,SOCIETA GESTIONE IMPANTI NUCLEARI S.P.A.
150,SOUTHERN,"SOUTHERN NUCLEAR OPERATING COMPANY, INC."
151,STP,STP NUCLEAR OPERATING CO.
152,SVAFO,AB SVAFO
153,TEPCO,"TOKYO ELECTRIC POWER COMPANY HOLDINGS, INC."
154,TNPJVC,TAISHAN NUCLEAR POWER JOINT VENTURE COMPANY LIMITED
155,TOHOKU,"TOHOKU ELECTRIC POWER CO., INC"
156,TPC,TAIWAN POWER CO.
157,TVA,TENNESSEE VALLEY AUTHORITY
158,TVO,TEOLLISUUDEN VOIMA OYJ
159,UFG,"UNION FENOSA GENERATION, S.A."
160,UKAEA,UNITED KINGDOM ATOMIC ENERGY AUTHORITY
161,WCNOC,WOLF CREEK NUCLEAR OPERATING CORP.
162,YAEC,YANKEE ATOMIC ELECTRIC CO.
163,YJNPC,YANGJIANG NUCLEAR POWER COMPANY
164,ZGZEC,"CNNP GUODIAN ZHANGZHOU ENERGY CO.,LTD"
165,ZJNPC,"ZHANJIANG NUCLEAR POWER COMPANY, LTD."
